company,model,variant,model_short,month,year,range,speed,pax_min,pax_max,desc
Boeing,777,200,777,5,1995,9700,905,314,314,
Boeing,777,200ER,772,2,1997,14310,905,314,314,
Boeing,777,200LR,77L,1,2006,17370,905,314,314,Long and ultra long range widebody airliners
Boeing,777,300,773,5,1998,11120,905,386,386,Long range high capacity widebody airliner
Boeing,777,300ER,77W,4,2004,14690,905,386,386,Long range high capacity widebody airliner
Boeing,787,8,788,9,2011,14500,913,242,242,
Boeing,787,9,789,7,2014,15200,913,280,280,
Boeing,787,10,,,,13000,913,323,323,
Boeing,767,200,762,1,1982,7130,851,181,255,
Boeing,767,200ER,762,1,1984,11825,851,181,255,
Boeing,767,300,763,1,1986,7890,851,218,290,
Boeing,767,300ER,76W,1,1988,11090,851,218,290,
Boeing,767,400ER,764,1,2000,10418,851,245,409,
Boeing,757,200,752,1,1983,7222,850,200,200,
Boeing,757,300,753,1,1999,6287,850,243,243,
Boeing,747,100,741,1,,9800,893,366,366,
Boeing,747,200,742,1,,12680,893,366,366,
Boeing,747,300,743,1,,12400,893,412,412,
Boeing,747,400,744,1,,14200,918,416,416,
Boeing,737,900,739,1,,6045,828,174,174,
Boeing,737,800,73H,1,,5765,828,160,160,
Boeing,737,800,738,1,,5765,828,160,160,
Boeing,737,700,73G,1,,6230,828,128,128,
Boeing,737,700,73W,1,,6370,828,128,128,737 with winglets
Boeing,737,600,736,1,,5648,828,108,108,
Boeing,737,500,735,1,,4440,780,146,146,
Boeing,737,400,734,1,,4440,780,146,146,
Airbus,380,800,380,1,2007,15700,945,555,555,
Airbus,340,500,345,1,2002,17000,881,313,313,
Airbus,340,600,346,1,2002,14350,881,380,380,
Airbus,330,200,332,1,1998,13400,871,253,253,
Airbus,330,300,333,1,1994,11300,871,295,295,
